iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
137, -91, 699125.0, -3.03333333333, 0, -312.75, 0, 70
138, -191, 704257.0, -6.36666666667, 0, -225.0, 0, 70
139, -138, 709295.0, -4.6, 0, 119.25, 70, 0
140, -107, 714397.0, -3.56666666667, 0, 69.75, 70, 3.81666666667
141, -15, 719484.0, -0.5, 0, 207.0, 70, 0
142, -67, 724600.0, -2.23333333333, 0, -117.0, 0, 70
143, -112, 729640.0, -3.73333333333, 0, -101.25, 0, 70
144, -48, 734748.0, -1.6, 0, 144.0, 70, 0
145, 52, 739829.0, 1.73333333333, 0, 225.0, 70, 0
146, -41, 744917.0, -1.36666666667, 0, -209.25, 0, 70
147, 126, 750005.0, 4.2, 0, 375.75, 70, 0
148, -85, 755104.0, -2.83333333333, 0, -474.75, 0, 70
149, -45, 760179.0, -1.5, 0, 90.0, 70, 0
150, -17, 765286.0, -0.566666666667, 0, 63.0, 70, 7.56666666667
151, -101, 770360.0, -3.36666666667, 0, -189.0, 0, 70
152, -26, 775444.0, -0.866666666667, 0, 168.75, 70, 0
153, 21, 780527.0, 0.7, 0, 105.75, 70, 0
154, 59, 785613.0, 1.96666666667, 0, 85.5, 70, 0
155, -200, 790705.0, -6.66666666667, 0, -582.75, 0, 70
156, 70, 795787.0, 2.33333333333, 0, 607.5, 70, 0
157, 63, 800886.0, 2.1, 0, -15.75, 56.35, 70
158, 0, 805962.0, 0.0, 0, -141.75, 0, 70
159, -67, 811048.0, -2.23333333333, 0, -150.75, 0, 70
160, -121, 816140.0, -4.03333333333, 0, -121.5, 0, 70
161, -130, 821233.0, -4.33333333333, 0, -20.25, 45.4166666667, 70
162, -165, 826313.0, -5.5, 0, -78.75, 0, 70
163, -235, 831398.0, -7.83333333333, 0, -157.5, 0, 70
164, -260, 836497.0, -8.66666666667, 0, -56.25, 5.08333333333, 70
165, -289, 841571.0, -9.63333333333, 0, -65.25, 0, 70
166, -257, 846672.0, -8.56666666667, 0, 72.0, 70, 6.56666666667
167, -218, 851745.0, -7.26666666667, 0, 87.75, 70, 0
168, -267, 856842.0, -8.9, 0, -110.25, 0, 70
169, -135, 861924.0, -4.5, 0, 297.0, 70, 0
170, -143, 867017.0, -4.76666666667, 0, -18.0, 47.2333333333, 70
171, -88, 872097.0, -2.93333333333, 0, 123.75, 70, 0
172, -310, 877179.0, -10.3333333333, 0, -499.5, 0, 70
173, -170, 882262.0, -5.66666666667, 0, 315.0, 70, 0
174, -123, 887360.0, -4.1, 0, 105.75, 70, 0
175, 0, 892445.0, 0.0, 0, 276.75, 70, 0
176, 3, 897544.0, 0.1, 0, 6.75, 70, 63.15
177, 24, 902633.0, 0.8, 0, 47.25, 70, 21.95
178, -164, 907714.0, -5.46666666667, 0, -423.0, 0, 70
179, -224, 912834.0, -7.46666666667, 0, -135.0, 0, 70
180, -228, 917905.0, -7.6, 0, -9.0, 53.4, 70
181, -118, 923002.0, -3.93333333333, 0, 247.5, 70, 0
182, -57, 928058.0, -1.9, 0, 137.25, 70, 0
183, -189, 933176.0, -6.3, 0, -297.0, 0, 70
184, -192, 938247.0, -6.4, 0, -6.75, 56.85, 70
185, -180, 943410.0, -6.0, 0, 27.0, 70, 49.0
186, 1, 948422.0, 0.0333333333333, 0, 407.25, 70, 0
187, -23, 953548.0, -0.766666666667, 0, -54.0, 15.2333333333, 70
188, -181, 958607.0, -6.03333333333, 0, -355.5, 0, 70
189, -259, 963690.0, -8.63333333333, 0, -175.5, 0, 70
190, -324, 968775.0, -10.8, 0, -146.25, 0, 70
