iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
187, -1427, 953430.0, -31.7111111111, 0, 0, 0, 30
188, -880, 958519.0, -19.5555555556, 0, 0, 10.4444444444, 30
189, -1359, 963666.0, -30.2, 0, 0, 0, 30
190, -1514, 968847.0, -33.6444444444, 0, 0, 0, 30
191, -1501, 973909.0, -33.3555555556, 0, 0, 0, 30
192, -1398, 979014.0, -31.0666666667, 0, 0, 0, 30
193, -1042, 984432.0, -23.1555555556, 0, 0, 6.84444444444, 30
194, -1024, 989228.0, -22.7555555556, 0, 0, 7.24444444444, 30
195, -1113, 994584.0, -24.7333333333, 0, 0, 5.26666666667, 30
196, -1000, 999554.0, -22.2222222222, 0, 0, 7.77777777778, 30
197, -883, 1004696.0, -19.6222222222, 0, 0, 10.3777777778, 30
198, -760, 1009792.0, -16.8888888889, 0, 0, 13.1111111111, 30
199, -839, 1014937.0, -18.6444444444, 0, 0, 11.3555555556, 30
200, -833, 1020003.0, -18.5111111111, 0, 0, 11.4888888889, 30
201, -891, 1025332.0, -19.8, 0, 0, 10.2, 30
202, -1085, 1030244.0, -24.1111111111, 0, 0, 5.88888888889, 30
203, -659, 1035432.0, -14.6444444444, 0, 0, 15.3555555556, 30
204, -648, 1040586.0, -14.4, 0, 0, 15.6, 30
205, -471, 1045575.0, -10.4666666667, 0, 0, 19.5333333333, 30
206, -753, 1050724.0, -16.7333333333, 0, 0, 13.2666666667, 30
207, -747, 1056268.0, -16.6, 0, 0, 13.4, 30
208, -483, 1061071.0, -10.7333333333, 0, 0, 19.2666666667, 30
209, -425, 1066135.0, -9.44444444444, 0, 0, 20.5555555556, 30
210, -305, 1071487.0, -6.77777777778, 0, 0, 23.2222222222, 30
211, -276, 1076312.0, -6.13333333333, 0, 0, 23.8666666667, 30
212, -240, 1081406.0, -5.33333333333, 0, 0, 24.6666666667, 30
213, -230, 1086561.0, -5.11111111111, 0, 0, 24.8888888889, 30
214, -265, 1091912.0, -5.88888888889, 0, 0, 24.1111111111, 30
215, -219, 1096855.0, -4.86666666667, 0, 0, 25.1333333333, 30
216, -117, 1101993.0, -2.6, 0, 0, 27.4, 30
217, -50, 1107063.0, -1.11111111111, 0, 0, 28.8888888889, 30
218, 61, 1112236.0, 1.35555555556, 0, 0, 30, 28.6444444444
219, -49, 1117367.0, -1.08888888889, 0, 0, 28.9111111111, 30
220, -106, 1122539.0, -2.35555555556, 0, 0, 27.6444444444, 30
221, 132, 1127917.0, 2.93333333333, 0, 0, 30, 27.0666666667
222, 101, 1132768.0, 2.24444444444, 0, 0, 30, 27.7555555556
223, 243, 1137910.0, 5.4, 0, 0, 30, 24.6
224, 160, 1143040.0, 3.55555555556, 0, 0, 30, 26.4444444444
225, 128, 1148128.0, 2.84444444444, 0, 0, 30, 27.1555555556
226, -37, 1153215.0, -0.822222222222, 0, 0, 29.1777777778, 30
227, -3, 1158477.0, -0.0666666666667, 0, 0, 29.9333333333, 30
228, 334, 1163473.0, 7.42222222222, 0, 0, 30, 22.5777777778
229, -41, 1168540.0, -0.911111111111, 0, 0, 29.0888888889, 30
230, 87, 1173709.0, 1.93333333333, 0, 0, 30, 28.0666666667
231, 83, 1178825.0, 1.84444444444, 0, 0, 30, 28.1555555556
232, 66, 1184000.0, 1.46666666667, 0, 0, 30, 28.5333333333
233, 84, 1189364.0, 1.86666666667, 0, 0, 30, 28.1333333333
234, 319, 1194507.0, 7.08888888889, 0, 0, 30, 22.9111111111
235, 212, 1199366.0, 4.71111111111, 0, 0, 30, 25.2888888889
236, -78, 1204515.0, -1.73333333333, 0, 0, 28.2666666667, 30
237, -6, 1209594.0, -0.133333333333, 0, 0, 29.8666666667, 30
238, -57, 1214679.0, -1.26666666667, 0, 0, 28.7333333333, 30
239, 84, 1220031.0, 1.86666666667, 0, 0, 30, 28.1333333333
240, 283, 1224902.0, 6.28888888889, 0, 0, 30, 23.7111111111
241, 114, 1230167.0, 2.53333333333, 0, 0, 30, 27.4666666667
242, 232, 1235267.0, 5.15555555556, 0, 0, 30, 24.8444444444
243, 138, 1240253.0, 3.06666666667, 0, 0, 30, 26.9333333333
244, 100, 1245526.0, 2.22222222222, 0, 0, 30, 27.7777777778
245, 26, 1250424.0, 0.577777777778, 0, 0, 30, 29.4222222222
246, 273, 1255500.0, 6.06666666667, 0, 0, 30, 23.9333333333
247, 89, 1260664.0, 1.97777777778, 0, 0, 30, 28.0222222222
248, 26, 1265783.0, 0.577777777778, 0, 0, 30, 29.4222222222
249, 92, 1270781.0, 2.04444444444, 0, 0, 30, 27.9555555556
250, 65, 1275855.0, 1.44444444444, 0, 0, 30, 28.5555555556
251, 81, 1280934.0, 1.8, 0, 0, 30, 28.2
252, -50, 1286053.0, -1.11111111111, 0, 0, 28.8888888889, 30
253, 0, 1291130.0, 0.0, 0, 0, 30, 30.0
254, 72, 1296194.0, 1.6, 0, 0, 30, 28.4
255, 0, 1301273.0, 0.0, 0, 0, 30, 30.0
256, 0, 1306399.0, 0.0, 0, 0, 30, 30.0
257, 65, 1311481.0, 1.44444444444, 0, 0, 30, 28.5555555556
258, 81, 1316561.0, 1.8, 0, 0, 30, 28.2
